Product ID,Active (0/1),Name *,Price tax excluded,Tax rules ID,Reference #,Manufacturer,Quantity,Summary,Description,Meta description,Image URLs,Category
1,1,Ampolleta 600w SHP Gro&Flo - Agrolite,"20252,000",1,BOMBIL3,Agrolite,100,"<div id=""short_description_content"" class=""rte align_justify"" itemprop=""description"">Las bombillas de sodio de alta presión (SHP) de Agrolite son idóneas para el cultivo. Estas lámparas, que tienen una rosca E-40, son apropiadas para el crecimiento y la floración del follaje, puesto que espectro de color contiene poco azul, pero una gran cantidad de amarillo y naranja que las hace muy brillantes. Son un tipo de luminarias de espectro corregido y larga vida.<br>Vatios: 600 W<br>Lúmenes: 20.000 lm<br>Vida: 15.000 h<br>Color: 2.100 Kº<br></div>","<h3 class=""page-product-heading"">Más</h3><div class=""rte"">Las bombillas de sodio de alta presión (SHP) de Agrolite son idóneas para el cultivo. Estas lámparas, que tienen una rosca E-40, son apropiadas para el crecimiento y la floración del follaje, puesto que espectro de color contiene poco azul, pero una gran cantidad de amarillo y naranja que las hace muy brillantes. Son un tipo de luminarias de espectro corregido y larga vida.<br>Vatios: 600 W<br>Lúmenes: 20.000 lm<br>Vida: 15.000 h<br>Color: 2.100 Kº<br></div>",,http://siembratienda.com/20-large_default/bombilla-agrolite-600w-shp-groflo-25-uds-x-caja.jpg,Ampolletas;Iluminación;
2,1,Ampolleta 250w SHP Gro&Flo - Agrolite,"9244,000",1,BOMBIL4,Agrolite,100,"<div id=""short_description_content"" class=""rte align_justify"" itemprop=""description"">Las bombillas de sodio de alta presión (SHP) de Agrolite son idóneas para el cultivo. Estas lámparas, que tienen una rosca E-40, son apropiadas para el crecimiento y la floración del follaje, puesto que espectro de color contiene poco azul, pero una gran cantidad de amarillo y naranja que las hace muy brillantes. Son un tipo de luminarias de espectro corregido y larga vida. Vatios: 250 W Lúmenes: 20.000 lm Vida: 15.000 h Color: 2.100 Kº</div>","<h3 class=""page-product-heading"">Más</h3><div class=""rte"">Las bombillas de sodio de alta presión (SHP) de Agrolite son idóneas para el cultivo. Estas lámparas, que tienen una rosca E-40, son apropiadas para el crecimiento y la floración del follaje, puesto que espectro de color contiene poco azul, pero una gran cantidad de amarillo y naranja que las hace muy brillantes. Son un tipo de luminarias de espectro corregido y larga vida. Vatios: 250 W Lúmenes: 20.000 lm Vida: 15.000 h Color: 2.100 Kº</div>",,http://siembratienda.com/18-large_default/bombilla-agrolite-250w-shp-groflo-25-uds-x-caja.jpg,Ampolletas;Iluminación;
3,1,Ampolleta 150w SHP Gro&Flo - Agrolite,"9159,000",1,BOMBIL5,Agrolite,100,"<div id=""short_description_content"" class=""rte align_justify"" itemprop=""description"">Las bombillas de sodio de alta presión (SHP) de Agrolite son idóneas para el cultivo. Estas lámparas, que tienen una rosca E-40, son apropiadas para el crecimiento y la floración del follaje, puesto que espectro de color contiene poco azul, pero una gran cantidad de amarillo y naranja que las hace muy brillantes. Son un tipo de luminarias de espectro corregido y larga vida. Vatios: 150 W Lúmenes: 20.000 lm Vida: 15.000 h Color: 2.100 Kº</div>","<h3 class=""page-product-heading"">Más</h3><div class=""rte"">Las bombillas de sodio de alta presión (SHP) de Agrolite son idóneas para el cultivo. Estas lámparas, que tienen una rosca E-40, son apropiadas para el crecimiento y la floración del follaje, puesto que espectro de color contiene poco azul, pero una gran cantidad de amarillo y naranja que las hace muy brillantes. Son un tipo de luminarias de espectro corregido y larga vida. Vatios: 150 W Lúmenes: 20.000 lm Vida: 15.000 h Color: 2.100 Kº</div>",,http://siembratienda.com/423-large_default/bombilla-agrolite-150w-shp-groflo-25-uds-x-caja.jpg,Ampolletas;Iluminación;
4,1,Ampolleta 400w SHP Gro&Flo - Agrolite,"11092,000",1,BOMBIL6,Agrolite,100,,"<h3 class=""page-product-heading"">Más</h3><div class=""rte"">Las bombillas de sodio de alta presión (SHP) de Agrolite son idóneas para el cultivo. Estas lámparas, que tienen una rosca E-40, son apropiadas para el crecimiento y la floración del follaje, puesto que espectro de color contiene poco azul, pero una gran cantidad de amarillo y naranja que las hace muy brillantes. Son un tipo de luminarias de espectro corregido y larga vida. Vatios: 400 W Lúmenes: 20.000 lm Vida: 15.000 h Color: 2.100 Kº</div>",,http://siembratienda.com/19-large_default/bombilla-agrolite-400w-shp-groflo-25-uds-x-caja.jpg,Ampolletas;Iluminación;
5,1,Fluorescente Compacto 150 w Crecimiento - Agrolite,"23950,000",1,FLUORE7,Agrolite,100,"<div id=""short_description_content"" class=""rte align_justify"" itemprop=""description"">Los fluorescentes compactos Agrolite están especialmente diseñados para dar un aporte suplementario de luz a sus plantas de interior. Dando un rendimiento 70-75 lúmenes por vatio.( Azul Para planta verde o en fase de crecimiento) Vatios: 150 W Vida: 8.000 h Crecimiento Color: 6.400 Kº</div>","<h3 class=""page-product-heading"">Más</h3><div class=""rte"">Los fluorescentes compactos Agrolite están especialmente diseñados para dar un aporte suplementario de luz a sus plantas de interior. Dando un rendimiento 70-75 lúmenes por vatio.( Azul Para planta verde o en fase de crecimiento) Vatios: 150 W Vida: 8.000 h Crecimiento Color: 6.400 Kº</div>",,http://siembratienda.com/4-large_default/fluorescente-compacto-agrolite-150-w-crecimiento-20-x-caja.jpg,Ampolletas;Iluminación;
6,1,Fluorescente Compacto 200w Crecimiento - Agrolite,"26890,000",1,FLUORE8,Agrolite,100,"<div id=""short_description_content"" class=""rte align_justify"" itemprop=""description"">Los fluorescentes compactos Agrolite están especialmente diseñados para dar un aporte suplementario de luz a sus plantas de interior. Dando un rendimiento 70-75 lúmenes por watio.( Azul Para planta verde o en fase de crecimiento) Vatios: 200 W Vida: 8.000 h Crecimiento Color: 6.400 Kº</div>","<h3 class=""page-product-heading"">Más</h3><div class=""rte"">Los fluorescentes compactos Agrolite están especialmente diseñados para dar un aporte suplementario de luz a sus plantas de interior. Dando un rendimiento 70-75 lúmenes por watio.( Azul Para planta verde o en fase de crecimiento) Vatios: 200 W Vida: 8.000 h Crecimiento Color: 6.400 Kº</div>",,http://siembratienda.com/5-large_default/fluorescente-compacto-agrolite-200w-crecimiento-10-x-caja.jpg,Ampolletas;Iluminación;
7,1,Ampolleta 100W Dark Night - Agrolite,"5882,000",1,BOMBIL11,Agrolite,100,"<div id=""short_description_content"" class=""rte align_justify"" itemprop=""description"">Halógeno de alta potencia con un filtro especialmente diseñado para trabajar en invernaderos y cultivos de interior durante las horas de oscuridad, permitiendo la visión humana y respetando al máximo el ciclo vital de las plantas.</div>","<h3 class=""page-product-heading"">Más</h3><div class=""rte"">Halógeno de alta potencia con un filtro especialmente diseñado para trabajar en invernaderos y cultivos de interior durante las horas de oscuridad, permitiendo la visión humana y respetando al máximo el ciclo vital de las plantas.</div>",,http://siembratienda.com/1045-large_default/bombilla-agrolite-100w-dark-night.jpg,Ampolletas;Iluminación;
8,1,Fast Food Orgánico 750mL - B.A.C.,"13437,000",1,FASTFO25,B.A.C.,100,"<div class=""rte"" itemprop=""description"">Fertilizante desarrollado específicamente para utilizar con plantas autoflorecientes de rápido crecimiento, basado en un solo producto para los dos ciclos, combina con gran maestría la cantidad idónea para las necesidades de este tipo de plantas que deben desarrollarse en un ciclo muy corto, con B.A.C.. Fast Food tendrás todo lo que la planta necesita para tener un buen sistema radicular que sea capaz de aportar los nutrientes necesarios a la masa foliar necesaria para conseguir una buena floración.</div>","<h3 class=""page-product-heading"">Más</h3><div class=""rte"">Fertilizante desarrollado específicamente para utilizar con plantas autoflorecientes de rápido crecimiento, basado en un solo producto para los dos ciclos, combina con gran maestría la cantidad idónea para las necesidades de este tipo de plantas que deben desarrollarse en un ciclo muy corto, con B.A.C.. Fast Food tendrás todo lo que la planta necesita para tener un buen sistema radicular que sea capaz de aportar los nutrientes necesarios a la masa foliar necesaria para conseguir una buena floración.</div>","Fertilizante desarrollado específicamente para utilizar con plantas autoflorecientes de rápido crecimiento, basado en un solo producto para los dos ciclos, combina con gran maestría la cantidad idónea para las necesidades de este tipo de plantas que deben desarrollarse en un ciclo muy corto, con B.A.C.. Fast Food tendrás todo lo que la planta necesita para tener un buen sistema radicular que sea capaz de aportar los nutrientes necesarios a la masa foliar necesaria para conseguir una buena floración.",http://siembratienda.com/74-large_default/fast-food-organico-750ml.jpg,B.A.C.;Marca;Bases;Fertilizantes y Abonos;
9,1,Fast Food Mineral 750mL - B.A.C.,"10076,000",1,FASTFO27,B.A.C.,100,"<div class=""rte"" itemprop=""description"">Fertilizante desarrollado específicamente para su uso con plantas autoflorecientes, un solo producto para los dos ciclos crecimiento y floración en una sola botella, fórmula magistral para obtener un buen sistema radicular y una exuberante masa foliar, apto para tierra, coco e hidropónicos, el pH se debe ajustar de 5,8 a 6 para obtener una mejor absorción de los nutrientes.</div>","<h3 class=""page-product-heading"">Más</h3><div class=""rte"">Fertilizante desarrollado específicamente para su uso con plantas autoflorecientes, un solo producto para los dos ciclos crecimiento y floración en una sola botella, fórmula magistral para obtener un buen sistema radicular y una exuberante masa foliar, apto para tierra, coco e hidropónicos, el pH se debe ajustar de 5,8 a 6 para obtener una mejor absorción de los nutrientes.</div>","Fertilizante desarrollado específicamente para su uso con plantas autoflorecientes, un solo producto para los dos ciclos crecimiento y floración en una sola botella, fórmula magistral para obtener un buen sistema radicular y una exuberante masa foliar, apto para tierra, coco e hidropónicos, el pH se debe ajustar de 5,8 a 6 para obtener una mejor absorción de los nutrientes.",http://siembratienda.com/70-large_default/fast-food-mineral-750ml.jpg,B.A.C.;Marca;Bases;Fertilizantes y Abonos;
10,1,Malla Bug Bloquer (Ø 125 mm) - Bug Blocker,"2941,000",1,MALLAB136,Bug Blocker,100,,,,http://siembratienda.com/1041-large_default/malla-bug-bloquer-o-125-mm.jpg,Cultivo;Accesorios para Cultivo;Ventilación y Extracción;Control de Clima;
